geoid,gisjoin,state_fips,state_name,state_abbr,county_name,county_fips,tract_fips,area_km2,centroid_x,very_low_mf_own_hh,very_low_mf_rent_hh,very_low_sf_own_hh,very_low_sf_rent_hh,low_mf_own_hh,low_mf_rent_hh,low_sf_own_hh,low_sf_rent_hh,mod_mf_own_hh,mod_mf_rent_hh,mod_sf_own_hh,mod_sf_rent_hh,mid_mf_own_hh,mid_mf_rent_hh,mid_sf_own_hh,mid_sf_rent_hh,high_mf_own_hh,high_mf_rent_hh,high_sf_own_hh,high_sf_rent_hh,very_low_mf_own_bldg_cnt,very_low_mf_rent_bldg_cnt,high_sf_rent_elep_hh,company_na,company_ty,avg_monthly_consumption_kwh,avg_monthly_bill_dlrs,dlrs_kwh,avg_pbi_usd_p_kwh,avg_cbi_usd_p_w,avg_ibi_pct,hh_size_1,hh_size_2,hh_size_3,hh_size_4,fam_med_income,hh_med_income,hh_gini_index,pop_over_65,pop_under_18,hu_monthly_owner_costs_lessthan_1000dlrs,hu_monthly_owner_costs_greaterthan_1000dlrs,hu_own,hu_rent,hu_vintage_2010toafter,hu_vintage_2000to2009,hu_vintage_1980to1999,hu_vintage_1960to1970,hu_vintage_1940to1959,hu_vintage_1939toearlier,climate_zone_description,locale
53077940001,G5300770940001,53,Washington,WA,Yakima County,77,940001,305.0771386,-120.5571716,2,66,115,126,1,42,30,23,1,65,127,57,2,62,187,52,8,70,481,67,0.5415,17.0125,127.47937,PacifiCorp,IOU,1208.968667,106.3318784,0.087952551,,,,257,515,262,742,53355,47790,0.4122,738,1956,770,469,694,2132,16,106,404,558,415,277,Cool,Rural - Distant
53077940002,G5300770940002,53,Washington,WA,Yakima County,77,940002,232.745463,-120.3765228,1,48,68,59,0,19,26,15,0,47,98,47,0,48,143,56,6,47,309,37,1.3424,10.7192,127.47937,PacifiCorp,IOU,1208.968667,106.3318784,0.087952551,,,,216,296,211,485,54318,46949,0.4095,476,1230,551,189,368,1427,0,32,357,350,366,103,Cool,Rural - Fringe
53011040101,G5300110040101,53,Washington,WA,Clark County,11,40101,350.6579983,-122.3595974,2,67,71,70,2,57,76,37,1,69,133,55,7,68,209,34,22,76,468,34,0.6428,12.3067,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,244,621,221,548,62326,59726,0.3753,587,1849,477,819,969,1243,21,441,584,399,84,105,Mixed,Rural - Distant
53011040102,G5300110040102,53,Washington,WA,Clark County,11,40102,53.85126032,-122.4617931,1,37,46,32,0,30,32,21,2,39,90,26,4,47,167,28,7,47,344,31,0.3657,6.9416,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,219,403,101,350,73986,66089,0.4284,424,1088,339,515,642,686,21,121,497,265,47,122,Mixed,Rural - Fringe
53011040201,G5300110040201,53,Washington,WA,Clark County,11,40201,61.38714134,-122.6793773,1,85,93,83,4,85,83,49,3,85,172,58,8,65,234,46,17,105,763,57,1.0639,15.8596,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,508,896,417,395,82470,69479,0.4375,820,1013,757,1038,1307,1042,62,533,968,404,153,96,Mixed,Rural - Fringe
53011040202,G5300110040202,53,Washington,WA,Clark County,11,40202,70.36485262,-122.580246,1,53,55,29,1,32,37,21,1,55,125,26,3,65,162,38,14,74,459,34,1.0776,7.588,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,215,566,200,365,74671,65625,0.376,400,1187,321,768,871,634,6,222,666,372,30,50,Mixed,Rural - Distant
53011040203,G5300110040203,53,Washington,WA,Clark County,11,40203,61.49285872,-122.5762681,1,26,36,34,0,49,68,40,3,86,141,48,5,59,192,40,20,93,721,75,0.6357,4.6289,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,278,773,290,490,86667,78015,0.4019,843,1540,580,1051,1150,632,13,389,853,492,51,33,Mixed,Rural - Fringe
53011040301,G5300110040301,53,Washington,WA,Clark County,11,40301,29.2894337,-122.7029297,0,9,3,9,2,19,26,11,0,24,36,10,0,15,54,15,8,26,244,19,0,1.6546,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,112,208,108,135,86786,82396,0.418,258,313,193,302,286,237,0,87,291,72,52,61,Mixed,Rural - Fringe
53011040302,G5300110040302,53,Washington,WA,Clark County,11,40302,65.11777001,-122.7331775,0,31,18,22,2,47,61,31,4,58,118,38,6,99,282,77,16,152,1074,97,0.2956,4.9323,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,343,806,564,663,91906,90213,0.3699,789,2036,474,1362,1455,1542,239,951,550,383,135,118,Mixed,Town - Fringe
53011040403,G5300110040403,53,Washington,WA,Clark County,11,40403,42.89336249,-122.6343306,0,44,39,20,1,21,31,22,2,48,103,50,5,72,187,28,21,63,557,45,0,6.1492,112.040739,PUD No 1 of Clark County,PSubdiv,1046.565023,96.85045532,0.092541269,,,,249,678,170,343,87384,74286,0.4587,758,796,448,796,931,641,131,130,598,392,123,66,Mixed,Rural - Fringe
